problem,ab_closed,ab_nodes,ab_expansions,ab_betas,ab_depth_max,ab_branches_closed,ab_branches_open,ab_time_ms,s_closed,s_nodes,s_expansions,s_betas,s_depth_max,s_branches_closed,s_branches_open,s_time_ms,node_ratio_ab_over_s,exp_ratio_ab_over_s
pel16_b3,1,7,3,0,7,1,0,0.042,1,7,3,0,7,1,0,0.062,1.000,1.000
pel17_b3,1,60,32,12,17,13,0,0.480,1,84,48,20,17,21,0,1.566,0.714,0.667
pel01_b4,1,15,7,3,7,4,0,0.158,1,18,9,4,8,5,0,0.413,0.833,0.778
pel02_b4,1,11,6,1,7,2,0,0.119,1,11,6,1,7,2,0,0.209,1.000,1.000
pel03_b4,1,8,4,0,8,1,0,0.093,1,8,4,0,8,1,0,0.150,1.000,1.000
pel04_b4,1,23,11,3,11,4,0,0.192,1,17,8,3,9,4,0,0.399,1.353,1.375
pel05_b4,1,22,12,4,15,5,0,0.220,1,31,15,5,17,6,0,0.544,0.710,0.800
pel06_b4,1,6,3,0,6,1,0,0.052,1,6,3,0,6,1,0,0.081,1.000,1.000
pel07_b4,1,10,6,0,10,1,0,0.079,1,8,5,0,8,1,0,0.192,1.250,1.200
pel08_b4,1,11,5,1,10,2,0,0.095,1,9,4,1,8,2,0,0.172,1.222,1.250
pel09_b4,1,30,18,8,16,9,0,0.308,1,26,16,8,12,9,0,0.613,1.154,1.125
pel10_b4,1,30,13,9,11,10,0,0.238,1,24,10,7,10,8,0,0.613,1.250,1.300
pel11_b4,1,5,1,1,3,2,0,0.052,1,5,1,1,3,2,0,0.062,1.000,1.000
pel12_b4,1,97,39,27,12,28,0,0.699,1,101,40,29,14,30,0,1.597,0.960,0.975
pel13_b4,1,36,17,8,13,9,0,0.336,1,33,15,7,12,8,0,0.909,1.091,1.133
pel14_b4,1,42,21,9,13,10,0,0.382,1,46,24,12,11,13,0,1.452,0.913,0.875
pel15_b4,1,15,7,3,7,4,0,0.135,1,18,9,4,8,5,0,0.416,0.833,0.778
pel16_b4,1,7,3,0,7,1,0,0.059,1,7,3,0,7,1,0,0.092,1.000,1.000
pel17_b4,1,69,37,17,18,18,0,0.648,1,88,48,25,18,26,0,2.285,0.784,0.771
pel01_b5,1,21,11,3,10,4,0,0.128,1,27,15,5,10,6,0,0.416,0.778,0.733
pel02_b5,1,11,6,1,7,2,0,0.070,1,11,6,1,7,2,0,0.127,1.000,1.000
pel03_b5,1,8,4,0,8,1,0,0.054,1,8,4,0,8,1,0,0.098,1.000,1.000
pel04_b5,1,23,11,1,12,2,0,0.106,1,25,14,3,10,4,0,0.380,0.920,0.786
pel05_b5,1,10,5,0,10,1,0,0.066,1,18,9,2,11,3,0,0.284,0.556,0.556
pel06_b5,1,6,3,0,6,1,0,0.036,1,6,3,0,6,1,0,0.048,1.000,1.000
pel07_b5,1,10,6,0,10,1,0,0.055,1,8,5,0,8,1,0,0.093,1.250,1.200
pel08_b5,1,11,5,1,10,2,0,0.071,1,9,4,1,8,2,0,0.115,1.222,1.250
pel09_b5,1,34,21,7,18,8,0,0.294,1,35,23,11,14,12,0,0.794,0.971,0.913
pel10_b5,1,33,14,8,15,9,0,0.248,1,24,10,7,10,8,0,0.555,1.375,1.400
pel11_b5,1,5,1,1,3,2,0,0.038,1,5,1,1,3,2,0,0.032,1.000,1.000
pel12_b5,1,113,48,36,14,37,0,0.796,1,91,35,29,13,30,0,1.379,1.242,1.371
pel13_b5,1,27,12,4,9,5,0,0.177,1,33,16,5,10,6,0,0.679,0.818,0.750
pel14_b5,1,42,21,8,13,9,0,0.306,1,60,36,14,14,15,0,1.156,0.700,0.583
pel15_b5,1,19,9,3,9,4,0,0.116,1,18,9,4,8,5,0,0.270,1.056,1.000
pel16_b5,1,7,3,0,7,1,0,0.066,1,7,3,0,7,1,0,0.066,1.000,1.000
pel17_b5,1,62,33,13,17,14,0,0.434,1,61,32,15,16,16,0,1.235,1.016,1.031
